0.255,154.8
0.26,170.8
0.265,177.1
0.27,182.4
0.275,150.3
0.28,142.3
0.285,167.2
0.29,171.5
0.295,159.8
0.3,182.0
0.305,179.7
0.31,183.0
0.315,181.5
0.32,184.9
0.325,185.1
0.33,188.5
0.335,188.3
0.34,195.1
0.345,190.2
0.35,194.4
0.355,185.3
0.36,189.4
0.365,194.1
0.37,188.4
0.375,192.4
0.38,196.4
0.385,191.9
0.39,195.9
0.395,191.1
0.4,187.7
0.405,159.6
0.41,165.5
0.415,150.4
0.42,148.3
0.425,160.3
0.43,154.0
0.435,173.7
0.44,172.2
0.445,158.0
0.45,157.0
0.455,146.8
0.46,163.4
0.465,162.1
0.47,161.8
0.475,165.3
0.48,167.1
0.485,157.3
0.49,160.5
0.495,164.0
0.5,154.7
